TimeStamp, Ax, Ay, Az, Gx, Gy, Gz
1420221592077926642, -11.681310, -11.465832, -3.390190, 0.808536, 7.643272, -2.537460
1420221598575151020, 0.459687, -11.856087, -16.642096, 5.637379, 2.712163, 1.366734
1420221593973912389, -12.102690, -7.606379, -14.551958, 1.659682, 2.863431, 0.461259
1420221593358592195, -15.952566, -9.677363, -13.014880, 1.084439, 5.593704, -0.925715
1420221602550668719, 1.192312, -0.335188, -6.500257, -0.302535, -0.348341, 0.520914
1420221597319837185, -0.371101, -16.754623, -6.198588, 4.084224, 5.208078, 1.613876
1420221596699651493, -10.091560, -5.963956, -15.753847, 0.971521, -1.023719, 1.227185
1420221595674470997, -4.601655, 4.534618, -7.898471, -1.494566, -4.228034, -0.614658
1420221591847808744, -6.375759, -5.216966, -10.773908, 0.407996, -2.641856, 2.368083
1420221593413621103, -15.282189, -9.871294, -5.204995, 0.607201, 7.770039, -2.273274
1420221592828313627, -10.381259, 8.710106, 9.773131, 2.200836, 0.143811, -2.164617
1420221595994527836, -8.851364, -7.352593, -10.362105, 1.118528, 0.838363, 0.840494
1420221590602231953, -1.790863, -10.754754, -10.855310, -0.544350, -2.852778, 3.354518
1420221598160061297, -0.119710, -9.473856, -19.612701, 3.420564, 5.046157, 1.386974
1420221596589632199, -3.256114, -0.811634, -14.250289, -0.135289, -5.170794, 1.912150
1420221603310736159, -0.785298, 5.765238, 8.271967, 0.117179, -0.123571, -0.274838
1420221597329840313, 1.333570, -15.028404, -4.285621, 4.029895, 5.841910, 0.950216
1420221595424423197, -14.623784, -11.700463, -9.773131, -0.427171, 5.746037, -2.321211
1420221591082448615, 2.248155, -9.155427, -12.121843, -0.202400, -3.501524, 2.901780
1420221600315426544, -1.058237, -17.786524, 2.367866, 3.808320, 6.446980, 0.746750
1420221594629250107, -8.451532, -9.986216, -7.733272, -0.217314, 0.129962, 0.397344
1420221592888345163, -5.528212, -0.040701, 1.072602, 0.526241, -3.355583, -1.280448
1420221591557664455, -4.910508, -1.333570, 2.700660, 0.653007, -2.245577, -2.218946
